"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
145,"Kyiv",6300,2300,"Senior Software Engineer",5,0,"JavaScript",,27,"male","Высшее","КНУ им. Шевченко","False","выше среднего","до 1000 человек","Аутстаффинговая","Logistics"
146,"Kyiv",6300,2000,"Team/Technical Lead",10,"0.5","Golang",,29,"male","Высшее","НТУУ «КПИ»","False","продвинутый","до 10 человек","Аутстаффинговая","Big Data"
147,"Kyiv",6250,1500,"Senior Software Engineer",6,3,"PHP",,38,"male","Высшее","Other вуз","False","выше среднего","до 200 человек","Продуктовая","Інша"
148,"Lviv",6200,200,"System Architect",10,3,"JavaScript",,25,"male","Высшее","Lvivская Политехника","False","выше среднего","до 200 человек","Продуктовая","Cloud Computing, Telecom"
149,"Kyiv",6200,0,"Team/Technical Lead",10,5,"Ruby/Rails",,34,"male","Высшее",,"False","выше среднего","до 200 человек","Продуктовая","E-commerce, Logistics"
150,"Kyiv",6200,0,"Senior Software Engineer",8,"0.5","JavaScript",,28,"male","Высшее","ЖГТУ","False","средний","до 50 человек","Стартап","Big Data, Data Science, Machine Learning"
151,"Kyiv",6200,200,"DevOps",8,2,,,28,"male","Высшее","НТУУ «КПИ»","False","продвинутый","до 200 человек","Продуктовая","Fintech"
152,"Lviv",6175,1000,"Team/Technical Lead",8,4,"Java",,27,"male","Высшее","Lvivская Политехника","False","выше среднего","до 50 человек","Стартап","Edtech"
153,"Kyiv",6175,0,"Senior Software Engineer",10,1,"JavaScript",,32,"male","Высшее","Other вуз","False","выше среднего","до 50 человек","Продуктовая","Adtech, Big Data"
154,"Lviv",6175,1225,"Team/Technical Lead",9,"0.5","C#/.NET",,29,"male","Незаконченное высшее","ЛНУ им. Франко","False","продвинутый","до 50 человек","Продуктовая","Robotics"
