"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
155,"Kyiv",6150,1150,"Senior Project manager / Program Manager",9,"0.5",,,35,"male","Высшее","НТУУ «КПИ»","False","продвинутый","свыше 1000 человек","Аутсорсинговая","E-commerce"
156,"Kyiv",6100,0,"Team/Technical Lead",10,3,"Other",,39,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 10 человек","Продуктовая","Інша"
157,"Kyiv",6080,1730,"Director of Engineering / Program Director",10,1,,,27,"male","Высшее","НАУ","False","выше среднего","до 10 человек","Продуктовая","Travel"
158,"Kyiv",6000,-500,"Director of Engineering / Program Director",10,2,,,34,"male","Два высших","НТУУ «КПИ»","False","продвинутый","свыше 1000 человек","Аутсорсинговая","AR/VR, Automotive, Machine Learning"
159,"Kyiv",6000,4000,"Director of Engineering / Program Director",10,0,,,38,"male","Высшее","Other вуз","False","средний","до 10 человек","Стартап","Blockchain, Fintech, High Load Systems"
160,"Kharkiv",6000,3000,"Sales manager",4,2,,,31,"male","Высшее","НТУ «ХПИ»","False","выше среднего","до 1000 человек","Аутстаффинговая","E-commerce, Fintech, Medtech"
161,"Kyiv",6000,0,"Senior Project manager / Program Manager",9,6,,,32,"male","Высшее","Lvivская Политехника","False","средний","до 200 человек","Продуктовая","Big Data, Інша"
162,"Kyiv",6000,900,"Senior Software Engineer",7,2,"Python",,29,"male","Высшее","НАУ","False","продвинутый","до 50 человек","Продуктовая","Інша"
163,"Kyiv",6000,500,"Senior Software Engineer",10,3,"Java",,34,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 50 человек","Продуктовая","Інша"
164,"Kyiv",6000,3000,"Senior Software Engineer",5,1,"JavaScript",,27,"male","Высшее","КНУ им. Шевченко","False","выше среднего","до 10 человек","Стартап","E-commerce, Fintech, Інша"
165,"Kyiv",6000,500,"Team/Technical Lead",10,2,"JavaScript",,32,"male","Высшее","КНУ им. Шевченко","False","выше среднего","до 10 человек","Продуктовая","Adtech"
166,"Kyiv",6000,800,"Team/Technical Lead",7,2,"Objective-C",,26,"male","Высшее","ХНУРЭ","False","выше среднего","до 1000 человек","Продуктовая","E-commerce, Media, Mobile"
167,"Kyiv",6000,1000,"Director of Engineering / Program Director",2,4,,,34,"male","Высшее","ДонНТУ","False","средний","до 50 человек","Продуктовая","Security"
168,"Kyiv",6000,500,"Team/Technical Lead",10,"0.5","Java",,30,"male","Среднее",,"False","средний","свыше 1000 человек","Аутсорсинговая","Fintech"
169,"Odessa",6000,0,"System Architect",10,2,"C#/.NET",,37,"male","Высшее",,"False","продвинутый","свыше 1000 человек","Другая","Automotive, Cloud Computing"
170,"Kyiv",6000,1000,"Team/Technical Lead",7,0,"Java",,31,"male","Высшее","Other вуз","False","продвинутый","до 200 человек","Аутстаффинговая","Cloud Computing, High Load Systems"
171,"Kharkiv",6000,0,"Senior Project manager / Program Manager",10,1,,,35,"male","Высшее","НТУ «ХПИ»","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Gambling, Media"
172,"Kyiv",6000,1000,"Team/Technical Lead",10,"0.5","TypeScript",,35,"male","Незаконченное высшее","ОНПУ","False","выше среднего","до 1000 человек","Аутстаффинговая","Adtech"
173,"Lviv",6000,0,"System Architect",10,2,"Java",,34,"male","Высшее","НТУ «ХПИ»","False","выше среднего","свыше 1000 человек","Аутстаффинговая","Fintech, Logistics, Robotics"
174,"Kyiv",6000,150,"Senior Software Engineer",10,2,"PHP",,34,"male","Высшее","ЧНТУ","False","продвинутый","до 200 человек","Продуктовая","Automotive, E-commerce"
175,"Kyiv",6000,500,"Team/Technical Lead",10,2,"TypeScript",,34,"male","Незаконченное высшее","НАУ","False","продвинутый","до 1000 человек","Аутстаффинговая","Travel"
176,"Kyiv",6000,500,"Senior Software Engineer",7,2,"JavaScript",,32,"male","Высшее","ДНУЖТ","False","ниже среднего","до 200 человек","Продуктовая","E-commerce, Fintech"
177,"Lviv",6000,-500,"System Architect",10,9,"C#/.NET",,36,"male","Высшее","ЛНУ им. Франко","False","выше среднего","свыше 1000 человек","Продуктовая","Embedded, Hardware, Internet of Things"
178,"Kyiv",6000,400,"System Architect",10,5,"Ruby/Rails",,36,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Аутсорсинговая","Cloud Computing, Fintech"
179,"Kyiv",6000,0,"DevOps",10,"0.5",,,45,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Аутстаффинговая","Blockchain, Data Science, Machine Learning"
180,"Kyiv",6000,1500,"Team/Technical Lead",9,4,"Clojure",,32,"male","Высшее","ЧНТУ","False","продвинутый","до 50 человек","Продуктовая","E-commerce"
181,"Kyiv",6000,1000,"Product Owner",10,4,,,36,"male","Высшее","Other вуз","False","продвинутый","свыше 1000 человек","Продуктовая","E-commerce"
182,"Kyiv",6000,500,"Senior Software Engineer",8,4,"Scala",,28,"male","Высшее","ДонНТУ","False","выше среднего","до 50 человек","Аутстаффинговая","Adtech"
183,"Kyiv",6000,2500,"Software Engineer",4,"0.25","C++",,23,"male","Высшее","КНУ им. Шевченко","False","выше среднего","до 50 человек","Стартап","Big Data, High Load Systems, Інша"
184,"Kyiv",6000,2650,"Senior Software Engineer",9,0,"C#/.NET",,33,"male","Высшее","ДонНТУ","False","выше среднего","до 200 человек","Продуктовая","Security"
185,"Kyiv",6000,1000,"Team/Technical Lead",9,6,"Java",,30,"male","Высшее","ДонНТУ","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Інша"
186,"Kyiv",6000,1000,"Team/Technical Lead",10,0,"JavaScript",,28,"male","Высшее","НТУУ «КПИ»","False","продвинутый","свыше 1000 человек","Аутстаффинговая","Big Data, High Load Systems"
187,"Lviv",6000,0,"Designer",10,5,,,34,"male","Высшее","Other вуз","False","продвинутый","до 10 человек","Стартап","Fintech"
188,"Kyiv",6000,700,"Team/Technical Lead",10,6,"JavaScript",,31,"male","Незаконченное высшее","Other вуз","False","средний","до 50 человек","Продуктовая","Інша"
189,"Other",6000,1000,"System Architect",10,6,"C#/.NET",,31,"male","Высшее","ДонНУ им. Васыля Стуса","False","средний","до 1000 человек","Аутстаффинговая","Mobile"
190,"Kharkiv",6000,0,"System Architect",8,6,"C#/.NET",,29,"male","Высшее","ХНУРЭ","False","продвинутый","до 200 человек","Аутстаффинговая","E-commerce, ERP"
191,"Lviv",6000,200,"System Architect",10,3,"Java",,33,"male","Высшее","Lvivская Политехника","False","продвинутый","до 10 человек","Стартап","Big Data, Data Science, Machine Learning"
192,"Lviv",6000,0,"Senior Software Engineer",10,1,"JavaScript",,29,"male","Незаконченное высшее","Other вуз","False","продвинутый","до 10 человек","Стартап","Big Data, Cloud Computing, Machine Learning"
193,"Kyiv",6000,500,"Team/Technical Lead",10,"0.5","Java",,39,"male","Высшее","Lvivская Политехника","False","выше среднего","до 200 человек","Аутсорсинговая","Big Data, Blockchain, Fintech"
194,"Kyiv",6000,1000,"Team/Technical Lead",10,3,"JavaScript",,32,"male","Высшее","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Media, Medtech"
195,"Kharkiv",6000,0,"Director of Engineering / Program Director",10,10,,,36,"male","Высшее","ХНУРЭ","False","средний","свыше 1000 человек","Аутсорсинговая","Інша"
196,"Odessa",6000,0,"Team/Technical Lead",5,3,"PHP",,27,"male","Высшее","Other вуз","False","продвинутый","до 10 человек","Продуктовая","Media"
197,"Kyiv",6000,0,"DevOps",6,3,,,26,"male","Незаконченное высшее","НУПТ","False","выше среднего","до 1000 человек","Аутсорсинговая","Adtech, Cloud Computing"
198,"Kyiv",6000,500,"Director of Engineering / Program Director",10,"0.5",,,33,"male","Высшее","ДонНТУ","False","выше среднего","до 200 человек","Продуктовая","Gambling"
199,"Kyiv",6000,0,"System Architect",10,1,"C#/.NET",,37,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 10 человек","Аутстаффинговая","High Load Systems, Інша"
200,"Kyiv",6000,1500,"Team/Technical Lead",10,10,"Java",,43,"male","Высшее","КНУ им. Шевченко","False","продвинутый","до 200 человек","Аутсорсинговая","Fintech, Legal, Security"
201,"Kyiv",6000,1000,"Team/Technical Lead",5,1,"JavaScript",,29,"male","Высшее","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Продуктовая","Інша"
202,"Kyiv",6000,1000,"System Architect",5,4,"Golang",,25,"male","Два высших","НТУУ «КПИ»","False","продвинутый","до 200 человек","Аутсорсинговая","Fintech"
203,"Kyiv",6000,1000,"Senior Software Engineer",4,4,"C#/.NET",,33,"male","Два высших","Other вуз","False","средний","свыше 1000 человек","Аутсорсинговая","Fintech"
204,"Kyiv",6000,1000,"DevOps",8,1,,,29,"male","Высшее","НГУ [Dniproопетровск]","False","средний","до 200 человек","Продуктовая","Інша"
205,"Kyiv",6000,0,"Data Engineer",10,"0.5",,,42,"female","Два высших","НТУУ «КПИ»","False","выше среднего","до 10 человек","Стартап","Big Data, Data Science"
206,"Kyiv",6000,-1000,"System Architect",10,1,"Java",,38,"male","Высшее","НУК","False","выше среднего","до 50 человек","Продуктовая","Blockchain, Інша"
207,"Other",6000,800,"DevOps",5,"0.25",,,34,"male","Высшее","Other вуз","False","средний","до 50 человек","Аутстаффинговая","GameDev, Medtech"
208,"Vinnytsia",6000,500,"Senior Software Engineer",7,1,"Erlang",,31,"male","Среднее",,"False","выше среднего","до 200 человек","Продуктовая","Blockchain, Fintech, Machine Learning"
209,"Kyiv",6000,-1000,"Team/Technical Lead",6,1,"Java",,25,"male","Высшее","НТУУ «КПИ»","False","продвинутый","до 200 человек","Аутстаффинговая","Medtech"
